epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.155,2.37049,4.30252,1.45149,0.67893,0.59985,0.67676,0.28604,1.92809,2.40108,1.27062,0.000332099,0.000332099,0.000332099
2,288.052,1.97684,2.06751,1.22951,0.8214,0.75735,0.83691,0.36765,1.85696,1.66215,1.24122,0.000658844,0.000658844,0.000658844
3,420.897,1.89126,1.47435,1.20544,0.89748,0.80302,0.87579,0.40707,1.79902,1.21484,1.22011,0.00097899,0.00097899,0.00097899
4,545.432,1.86941,1.29868,1.19643,0.90508,0.84065,0.90616,0.40848,1.80204,1.09661,1.21612,0.0009703,0.0009703,0.0009703
5,639.135,1.81067,1.15199,1.16508,0.91523,0.83006,0.89988,0.42576,1.74842,1.03946,1.19676,0.0009604,0.0009604,0.0009604
6,781.137,1.79621,1.10662,1.1514,0.92961,0.89734,0.94173,0.46248,1.68435,0.9188,1.15718,0.0009505,0.0009505,0.0009505
7,915.958,1.75219,1.03671,1.13624,0.93998,0.88438,0.93423,0.44058,1.74509,0.90889,1.17694,0.0009406,0.0009406,0.0009406
8,1056.03,1.73935,0.99646,1.14053,0.94348,0.91264,0.9461,0.46012,1.68389,0.86735,1.15726,0.0009307,0.0009307,0.0009307
9,1187.5,1.72078,0.97772,1.1193,0.95393,0.90765,0.95056,0.47284,1.68593,0.84245,1.15248,0.0009208,0.0009208,0.0009208
10,1325.34,1.71406,0.94852,1.11269,0.94511,0.92327,0.9536,0.46233,1.69235,0.8425,1.15218,0.0009109,0.0009109,0.0009109
11,1462.67,1.70468,0.92705,1.11415,0.95625,0.90686,0.95297,0.47108,1.68997,0.84621,1.15811,0.000901,0.000901,0.000901
12,1601.16,1.68219,0.90056,1.10775,0.96263,0.9343,0.96655,0.49187,1.64287,0.77472,1.13687,0.0008911,0.0008911,0.0008911
13,1740.28,1.67156,0.87988,1.10244,0.94957,0.91485,0.9517,0.46544,1.72316,0.80953,1.1661,0.0008812,0.0008812,0.0008812
14,1877.05,1.66911,0.87265,1.09933,0.92436,0.88224,0.94042,0.46856,1.66853,0.84703,1.14893,0.0008713,0.0008713,0.0008713
15,2014.23,1.6556,0.86087,1.09414,0.95752,0.94714,0.96502,0.47492,1.68816,0.75802,1.14355,0.0008614,0.0008614,0.0008614
16,2160.99,1.65391,0.84977,1.099,0.95854,0.94161,0.9656,0.48964,1.636,0.7458,1.13401,0.0008515,0.0008515,0.0008515
17,2296.04,1.63372,0.83161,1.09118,0.9628,0.94866,0.96865,0.50277,1.63555,0.71142,1.13044,0.0008416,0.0008416,0.0008416
18,2436.93,1.62873,0.82158,1.08243,0.96229,0.93518,0.96473,0.49617,1.62178,0.73067,1.12441,0.0008317,0.0008317,0.0008317
19,2578.41,1.62126,0.82129,1.07344,0.96714,0.93592,0.97053,0.49862,1.62829,0.71635,1.1258,0.0008218,0.0008218,0.0008218
20,2720.35,1.6037,0.80321,1.07689,0.94545,0.94595,0.95551,0.46231,1.70353,0.73685,1.15047,0.0008119,0.0008119,0.0008119
21,2855.97,1.5998,0.7864,1.07594,0.96352,0.9377,0.97265,0.5017,1.62212,0.70283,1.1222,0.000802,0.000802,0.000802
22,2996.29,1.59498,0.7852,1.07663,0.96608,0.95632,0.97283,0.49708,1.63343,0.68455,1.12727,0.0007921,0.0007921,0.0007921
23,3136.9,1.58139,0.76857,1.06775,0.9599,0.95739,0.97562,0.50865,1.59776,0.68686,1.11391,0.0007822,0.0007822,0.0007822
24,3276.55,1.57937,0.76789,1.07263,0.96835,0.96303,0.9768,0.51427,1.5794,0.67902,1.10713,0.0007723,0.0007723,0.0007723
25,3411.46,1.56128,0.75191,1.05752,0.96701,0.94108,0.97247,0.50829,1.59262,0.68012,1.11015,0.0007624,0.0007624,0.0007624
26,3559.53,1.56016,0.75491,1.05934,0.96984,0.95392,0.97702,0.51076,1.59599,0.67261,1.11284,0.0007525,0.0007525,0.0007525
27,3706.57,1.5505,0.74751,1.05957,0.96319,0.9544,0.97281,0.51671,1.57444,0.65958,1.10727,0.0007426,0.0007426,0.0007426
28,3842.3,1.55189,0.73716,1.06361,0.96029,0.95794,0.97044,0.51092,1.59164,0.66575,1.11194,0.0007327,0.0007327,0.0007327
29,3981.97,1.53648,0.73419,1.055,0.96118,0.96344,0.9764,0.51757,1.5759,0.64775,1.11093,0.0007228,0.0007228,0.0007228
30,4120.76,1.52135,0.72801,1.05257,0.96804,0.95921,0.97373,0.50862,1.59256,0.64428,1.11214,0.0007129,0.0007129,0.0007129
31,4260.35,1.51516,0.7088,1.05041,0.96875,0.9676,0.97822,0.52309,1.56539,0.63014,1.1062,0.000703,0.000703,0.000703
32,4393.28,1.50373,0.7135,1.04589,0.96635,0.96027,0.97419,0.51898,1.56791,0.63412,1.10232,0.0006931,0.0006931,0.0006931
33,4533.49,1.5042,0.70263,1.04353,0.97101,0.96383,0.97824,0.52332,1.55083,0.63112,1.0984,0.0006832,0.0006832,0.0006832
34,4668.6,1.49511,0.6974,1.04147,0.96718,0.96783,0.97959,0.53022,1.54228,0.61854,1.09269,0.0006733,0.0006733,0.0006733
35,4807.08,1.49208,0.69589,1.03966,0.96718,0.95875,0.97982,0.52576,1.56291,0.63441,1.10031,0.0006634,0.0006634,0.0006634
36,4957.37,1.49168,0.6981,1.03575,0.96741,0.96265,0.97975,0.53312,1.54084,0.62355,1.09406,0.0006535,0.0006535,0.0006535
37,5103.92,1.45087,0.68254,1.02222,0.97234,0.96094,0.97747,0.52067,1.58633,0.62109,1.1061,0.0006436,0.0006436,0.0006436
38,5250.86,1.45967,0.6795,1.02948,0.96672,0.96853,0.97926,0.52471,1.55407,0.61991,1.09774,0.0006337,0.0006337,0.0006337
39,5397.64,1.46013,0.6838,1.03088,0.96834,0.96644,0.97944,0.52401,1.55257,0.62143,1.10218,0.0006238,0.0006238,0.0006238
40,5542.89,1.45524,0.67258,1.02479,0.96862,0.96565,0.97828,0.52873,1.55469,0.61243,1.10169,0.0006139,0.0006139,0.0006139
41,5691.2,1.45234,0.67328,1.02543,0.9696,0.96759,0.98158,0.53472,1.54374,0.61594,1.09641,0.000604,0.000604,0.000604
42,5840,1.44028,0.66872,1.02349,0.97218,0.97376,0.98387,0.53488,1.53504,0.59181,1.09158,0.0005941,0.0005941,0.0005941
43,5987.62,1.42572,0.65871,1.0192,0.97125,0.9667,0.98086,0.53574,1.52652,0.59479,1.08924,0.0005842,0.0005842,0.0005842
44,6135.39,1.43471,0.6667,1.02084,0.97275,0.96332,0.97633,0.53311,1.53705,0.59773,1.09409,0.0005743,0.0005743,0.0005743
45,6282.1,1.41249,0.65093,1.01544,0.97076,0.9762,0.97944,0.53783,1.51531,0.58223,1.08286,0.0005644,0.0005644,0.0005644
46,6429.91,1.40843,0.64856,1.009,0.96975,0.97272,0.9808,0.52784,1.55873,0.5937,1.09989,0.0005545,0.0005545,0.0005545
47,6582.07,1.39923,0.64698,1.00907,0.96756,0.9692,0.97892,0.52534,1.55579,0.59882,1.09939,0.0005446,0.0005446,0.0005446
48,6730.9,1.39243,0.64679,1.00768,0.97175,0.96572,0.98085,0.53329,1.52916,0.59297,1.08783,0.0005347,0.0005347,0.0005347
49,6878.95,1.39393,0.64312,1.0092,0.97457,0.9737,0.98194,0.53782,1.52367,0.57871,1.08754,0.0005248,0.0005248,0.0005248
50,7024.21,1.3875,0.63656,0.99959,0.96796,0.97173,0.98019,0.53845,1.51527,0.5829,1.0857,0.0005149,0.0005149,0.0005149
51,7172.45,1.36516,0.6322,1.00167,0.97587,0.97108,0.98239,0.54389,1.5067,0.56984,1.08356,0.000505,0.000505,0.000505
52,7322.64,1.37157,0.6287,1.00043,0.97252,0.96866,0.97786,0.5302,1.53731,0.58462,1.095,0.0004951,0.0004951,0.0004951
53,7472.12,1.36926,0.63016,1.00161,0.97368,0.96767,0.97977,0.53899,1.51793,0.57457,1.08474,0.0004852,0.0004852,0.0004852
54,7612.92,1.3512,0.62444,0.99662,0.9706,0.97221,0.98046,0.53752,1.52172,0.57958,1.08862,0.0004753,0.0004753,0.0004753
55,7763.21,1.34621,0.62162,0.99617,0.96968,0.97564,0.98219,0.54442,1.50357,0.56552,1.08281,0.0004654,0.0004654,0.0004654
56,7914.04,1.34104,0.61054,0.99402,0.96743,0.97954,0.98066,0.54747,1.49677,0.5612,1.08353,0.0004555,0.0004555,0.0004555
57,8061.21,1.32609,0.60605,0.98667,0.97611,0.96651,0.97975,0.54377,1.4982,0.5666,1.08297,0.0004456,0.0004456,0.0004456
58,8209.48,1.33119,0.61266,0.98971,0.97191,0.97724,0.9835,0.54727,1.49064,0.55984,1.08304,0.0004357,0.0004357,0.0004357
59,8358.32,1.31744,0.60592,0.98609,0.97073,0.97408,0.98093,0.5469,1.49139,0.5569,1.08292,0.0004258,0.0004258,0.0004258
60,8506.73,1.30089,0.60069,0.98201,0.97186,0.97342,0.97981,0.53966,1.50109,0.56692,1.08646,0.0004159,0.0004159,0.0004159
61,8656.83,1.31036,0.59968,0.98276,0.97445,0.97087,0.97827,0.54663,1.48878,0.56413,1.08307,0.000406,0.000406,0.000406
62,8808.28,1.28752,0.58881,0.97537,0.97412,0.9725,0.98094,0.54191,1.49985,0.56031,1.08897,0.0003961,0.0003961,0.0003961
63,8958.84,1.29464,0.59088,0.97949,0.97436,0.97159,0.98032,0.54285,1.5037,0.56033,1.08748,0.0003862,0.0003862,0.0003862
64,9105.22,1.28848,0.59138,0.97835,0.96941,0.97556,0.98013,0.54592,1.48769,0.55324,1.08094,0.0003763,0.0003763,0.0003763
65,9254,1.27705,0.5884,0.97266,0.97306,0.97613,0.98087,0.54588,1.48365,0.55214,1.08506,0.0003664,0.0003664,0.0003664
