epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.055,0.52804,0.65342,1.00485,0.99407,0.99206,0.99273,0.75555,1.0132,0.913,1.2772,7.99622e-05,7.99622e-05,0.000127177
2,580.524,0.52182,0.64077,1.00197,0.99399,0.99247,0.99283,0.75791,1.01316,0.91414,1.277,7.99479e-05,7.99479e-05,7.99479e-05
3,854.247,0.51968,0.64447,1.00264,0.99361,0.99212,0.9927,0.7579,1.01297,0.91099,1.27736,7.97918e-05,7.97918e-05,7.97918e-05
4,1137.73,0.5222,0.64312,1.00155,0.99423,0.99214,0.99273,0.75827,1.01297,0.91238,1.27707,7.95322e-05,7.95322e-05,7.95322e-05
5,1407.85,0.5247,0.64117,1.00359,0.99445,0.99183,0.99283,0.757,1.01325,0.91189,1.27721,7.91696e-05,7.91696e-05,7.91696e-05
6,1699.75,0.52482,0.64908,1.00332,0.9948,0.99158,0.99284,0.75724,1.01305,0.9082,1.27738,7.87052e-05,7.87052e-05,7.87052e-05
7,1972.29,0.5209,0.64118,1.00133,0.99406,0.9919,0.99282,0.75735,1.01309,0.90748,1.27724,7.81401e-05,7.81401e-05,7.81401e-05
8,2259.07,0.52073,0.64302,1.0001,0.9941,0.99211,0.99271,0.75781,1.0131,0.91628,1.27705,7.74761e-05,7.74761e-05,7.74761e-05
9,2576.38,0.51959,0.64251,1.00112,0.99428,0.99186,0.9927,0.75745,1.01304,0.91483,1.27698,7.67147e-05,7.67147e-05,7.67147e-05
10,2838.43,0.52172,0.64202,1.0012,0.99444,0.99167,0.99276,0.75818,1.01307,0.90785,1.27717,7.58582e-05,7.58582e-05,7.58582e-05
11,3100.24,0.52264,0.64343,1.00127,0.99446,0.99197,0.9928,0.7579,1.0129,0.90971,1.27695,7.4909e-05,7.4909e-05,7.4909e-05
12,3362.58,0.52297,0.64528,0.9996,0.99421,0.9919,0.99283,0.75875,1.01317,0.90247,1.27715,7.38695e-05,7.38695e-05,7.38695e-05
13,3626.1,0.52162,0.64154,1.00369,0.99411,0.99183,0.9928,0.75675,1.01323,0.90914,1.27741,7.27426e-05,7.27426e-05,7.27426e-05
14,3894.03,0.52066,0.64183,1.00122,0.99457,0.99166,0.99278,0.75851,1.01323,0.91308,1.27734,7.15315e-05,7.15315e-05,7.15315e-05
15,4179.83,0.51975,0.6392,1.00141,0.99414,0.99216,0.99274,0.75671,1.0133,0.91464,1.27715,7.02395e-05,7.02395e-05,7.02395e-05
16,4498.11,0.52082,0.64437,0.99912,0.99429,0.99134,0.99271,0.75691,1.01287,0.90881,1.27713,6.88701e-05,6.88701e-05,6.88701e-05
17,4760.77,0.5197,0.64239,1.00423,0.9936,0.99267,0.99279,0.75751,1.01321,0.91119,1.27739,6.7427e-05,6.7427e-05,6.7427e-05
18,5023.39,0.51859,0.64202,1.00316,0.9949,0.99153,0.99278,0.75819,1.01312,0.91187,1.27738,6.59142e-05,6.59142e-05,6.59142e-05
19,5289.51,0.51728,0.63949,1.00017,0.99433,0.99201,0.99275,0.75723,1.01326,0.91147,1.27725,6.43358e-05,6.43358e-05,6.43358e-05
20,5551.23,0.52101,0.63983,1.00055,0.99418,0.99192,0.99279,0.75663,1.01298,0.90802,1.27728,6.26963e-05,6.26963e-05,6.26963e-05
21,5809.95,0.52424,0.64308,1.00535,0.99425,0.99202,0.99277,0.75787,1.0133,0.91414,1.27714,6.1e-05,6.1e-05,6.1e-05
22,6069.9,0.52392,0.64395,1.00241,0.99461,0.992,0.99273,0.75804,1.01338,0.90686,1.27745,5.92516e-05,5.92516e-05,5.92516e-05
23,6330.3,0.52194,0.64175,1.00095,0.99423,0.99188,0.99279,0.75741,1.01307,0.90754,1.27732,5.7456e-05,5.7456e-05,5.7456e-05
24,6591.65,0.51967,0.63964,1.00049,0.99439,0.99186,0.99274,0.75798,1.01346,0.91011,1.27762,5.5618e-05,5.5618e-05,5.5618e-05
25,6851.73,0.52283,0.64253,1.00194,0.99437,0.99229,0.99275,0.75768,1.01313,0.90663,1.2772,5.37426e-05,5.37426e-05,5.37426e-05
26,7113.81,0.52041,0.64324,0.99937,0.99476,0.9919,0.99277,0.75795,1.01323,0.90689,1.2774,5.18351e-05,5.18351e-05,5.18351e-05
27,7401.07,0.52428,0.6447,1.00396,0.99459,0.99195,0.99279,0.75792,1.01335,0.91028,1.27742,4.99006e-05,4.99006e-05,4.99006e-05
